ID,단원,난이도,문제,정답,풀이
grade3_1st_step_01,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,427 + 358의 값은 얼마입니까?,785,"자! 일의 자리부터 더해볼까? 7이랑 8을 더하면 15지? 그럼 5만 쓰고 1은 십의 자리로 '받아올림' 해주는 거야. 그다음 십의 자리는 2랑 5를 더하고 아까 올린 1까지 더해서 8! 마지막으로 백의 자리 4랑 3을 더하면 7이 되니까 정답은 785란다."
grade3_1st_step_02,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,842 - 567의 값은 얼마입니까?,275,"뺄셈은 빌려오는 게 중요해! 2에서 7을 못 빼니까 십의 자리에서 10을 빌려와서 12-7=5가 되지? 십의 자리도 3에서 6을 못 빼니까 백의 자리에서 또 빌려오자. 그럼 13-6=7이 돼. 마지막 백의 자리는 7-5=2니까 정답은 275야. 차근차근 빌려오면 어렵지 않지?"
grade3_1st_step_03,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어떤 수에 235를 더했더니 678이 되었습니다. 어떤 수는?,443,"어떤 수에 더해서 678이 됐으니까 반대로 전체 678에서 더했던 235를 쏙 빼버리면 원래 어떤 수가 나오겠지? 678에서 235를 빼보자. 8-5는 3! 7-3은 4! 6-2는 4니까 우리가 찾는 어떤 수는 443이야!"
grade3_1st_step_04,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,사과가 128개 배가 245개 있습니다. 과일은 모두 몇 개입니까?,373,"모두 몇 개인지 물어봤으니까 사과랑 배를 합쳐야겠지? 128 더하기 245를 해보자. 8이랑 5를 더하면 13이니까 1을 올리고 십의 자리는 2+4+1=7! 백의 자리는 1+2=3! 그래서 맛있는 과일은 모두 373개란다."
grade3_1st_step_05,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,902 - 345의 값은 얼마입니까?,557,"902처럼 가운데가 0인 숫자는 빌려올 때 조심해야 해! 일의 자리가 2라 5를 못 빼니까 십의 자리에서 빌리려는데 0이네? 그럼 백의 자리에서 빌려와서 십의 자리를 9로 만들고 일의 자리에 10을 주는 거야. 그럼 12-5=7! 9-4=5! 8-3=5니까 답은 557이야."
grade3_1st_step_06,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,가장 큰 세 자리 수와 가장 작은 세 자리 수의 합은?,1099,"먼저 숫자를 찾아야겠지? 가장 큰 세 자리 수는 999고 가장 작은 세 자리 수는 100이야. 이 두 친구를 더해볼까? 999에 100만 쏙 더하면 되니까 백의 자리 숫자만 하나 커져서 1099가 된단다. 정말 쉽지?"
grade3_1st_step_07,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,학교 도서관 책 821권 중 345권이 대출되었습니다. 남은 책은?,476,"원래 있던 821권에서 친구들이 빌려간 345권을 빼야 남은 책을 알 수 있어. 821 - 345를 세로셈으로 계산해볼까? 받아내림을 잘 신경 써서 계산하면 476권이 남는다는 걸 알 수 있을 거야!"
grade3_1st_step_08,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어떤 수에서 150을 뺐더니 280이 되었습니다. 어떤 수는?,430,"어떤 수에서 150을 뺏겼는데도 280이나 남았네? 그럼 원래 숫자는 280보다 더 컸겠지? 뺐던 150을 다시 남은 280에 더해주면 돼. 280 더하기 150을 하면 430! 그래서 원래 숫자는 430이었던 거야."
grade3_1st_step_09,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,1000 - 789의 값은?,211,"1000에서 빼는 건 조금 헷갈릴 수 있어. 1000은 999보다 1 큰 수잖아? 999에서 789를 먼저 빼면 210이지? 거기에 아까 남겨둔 1을 다시 더해주면 211이 돼. 아니면 받아내림을 해서 10-9=1! 9-8=1! 9-7=2라고 계산해도 똑같이 211이 나온단다!"
grade3_1st_step_10,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어떤 수에 125를 더했더니 500이 되었습니다. 어떤 수는?,375,"어떤 수에 125를 더해서 500이 됐으니까 반대로 생각해보자. 전체 500에서 더했던 125를 빼면 원래 어떤 수가 나올 거야. 500에서 125를 빼보자. 0에서 5를 못 빼니까 십의 자리에서 빌려와서 10-5=5! 십의 자리도 0이라서 또 빌려와서 9-2=7! 백의 자리에서는 4-1=3이니까 우리가 찾는 어떤 수는 375야!"
grade3_1st_step_11,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,532 + 246의 값은 얼마입니까?,778,"일의 자리 2랑 6을 더하면 8! 십의 자리 3이랑 4를 더하면 7! 백의 자리 5랑 2를 더하면 7이지? 받아올림이 없어서 아주 쉬운 문제였네! 정답은 778이야."
grade3_1st_step_12,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,654 - 321의 값은 얼마입니까?,333,"자~ 빌려올 필요가 없는 뺄셈이야. 4에서 1을 빼면 3! 5에서 2를 빼면 3! 6에서 3을 빼면 3! 숫자가 세 개 다 똑같이 3이 나왔네? 정답은 333이란다."
grade3_1st_step_13,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,378 + 451의 값은 얼마입니까?,829,"일의 자리는 9가 되고 십의 자리 7이랑 5를 더하면 12가 되지? 이때 2만 쓰고 1은 백의 자리로 보내주는 거야. 그럼 백의 자리는 3+4+1=8이 되니까 답은 829가 돼!"
grade3_1st_step_14,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,725 - 483의 값은 얼마입니까?,242,"5에서 3을 빼면 2지? 그런데 십의 자리 2에서 8을 못 빼니까 백의 자리에서 10을 빌려오자! 그럼 12에서 8을 빼니까 4가 되고 백의 자리는 6에서 4를 빼서 2가 돼. 답은 242야."
grade3_1st_step_15,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,두 수 156과 284의 합은 얼마입니까?,440,"두 친구를 합쳐보자! 6이랑 4를 더하면 10이라 0을 쓰고 1을 올릴게. 십의 자리는 5+8+1=14니까 4 쓰고 또 1을 올려! 백의 자리는 1+2+1=4니까 정답은 440이란다."
grade3_1st_step_16,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,900 - 456의 값은 얼마입니까?,444,"0이 두 개나 있네? 이럴 땐 백의 자리에서부터 900을 800이랑 90이랑 10으로 쪼개서 빌려준다고 생각하면 돼. 10-6=4! 9-5=4! 8-4=4! 신기하게도 답은 444가 나왔어!"
grade3_1st_step_17,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,289보다 111만큼 더 큰 수는 무엇입니까?,400,"더 큰 수를 물어봤으니 289에 111을 더해주면 되겠지? 9+1은 10이라 1 올리고! 8+1+1도 10이라 또 1 올리고! 2+1+1은 4니까 예쁜 숫자 400이 정답이야."
grade3_1st_step_18,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,어떤 수에 400을 더했더니 750이 되었습니다 어떤 수는?,350,"어떤 수에 400을 줬더니 750이 됐네? 그럼 다시 400을 뺏어보자! 750에서 400을 빼면 350이 남지? 그래서 처음 어떤 수는 바로 350이었던 거야."
grade3_1st_step_19,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,사탕 625개 중에서 친구들에게 240개를 나눠줬습니다 남은 사탕은?,385,"나눠줬으니까 뺄셈을 해야겠지? 625에서 240을 빼보자. 일의 자리는 5! 십의 자리는 2에서 4를 못 빼니까 빌려와서 12-4=8! 백의 자리는 5-2=3이니까 남은 사탕은 385개야."
grade3_1st_step_20,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,세 자리 수 중에서 가장 큰 수에서 500을 빼면?,499,"가장 큰 세 자리 수는 999지? 여기서 500을 쏙 빼보자. 백의 자리 9에서 5만 빼면 되니까 나머지 숫자는 그대로고 답은 499가 된단다."
grade3_1st_step_21,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,347 + 258의 값은?,605,"7이랑 8을 더하면 15니까 1 올리고! 4+5+1은 10이라서 0 쓰고 또 1 올리고! 3+2+1은 6이니까 정답은 605야. 받아올림이 두 번이나 있었네!"
grade3_1st_step_22,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,812 - 345의 값은?,467,"2에서 5 못 빼니까 빌려와서 12-5=7! 십의 자리는 0이 됐으니 백의 자리에서 빌려와서 10-4=6! 백의 자리는 7-3=4! 차례대로 빌려오면 467이라는 답이 나와."
grade3_1st_step_23,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,숫자 카드 4 7 2를 한 번씩 써서 만든 가장 큰 수와 가장 작은 수의 차는?,527,"가장 큰 수는 742고 가장 작은 수는 247이야. 차이를 물었으니 742에서 247을 빼보자. 받아내림을 조심해서 계산하면 정답은 495가 나온단다!"
grade3_1st_step_24,1-1단원. 덧셈과 뺄셈 (세 자리 수),1,504 + 198의 값은?,702,"4랑 8을 더하면 12니까 1 올리고! 0+9+1은 10이니까 0 쓰고 또 1 올리고! 5+1+1은 7이니까 답은 702야. 덧셈은 끝까지 집중해야 해!"
